quote_id,flower_id,excerpt_type,text_ko,text_original,author,source_title,source_url,license,translator,era,tags,caveat,pd_basis,reviewed_at
q-lit-peony-shijing,peony,classic,사내와 아가씨가 / 서로 웃고 놀리다가 / 그에게 작약을 건넨다.,維士與女、伊其相謔、贈之以勺藥。,『시경』 정풍 「진유」(작자 미상),詩經 國風 鄭風 溱洧,https://ctext.org/book-of-poetry/zhen-wei/zh,pd,dearbloom,BC 11~6c,confession|just_because|celebration,여기 '勺藥'은 초본 작약과 목본 모란을 아직 나누기 전의 통칭이에요. 후대의 '芍藥' 표기와 글자가 달라요.,"기원전 11~6세기 편집, 작자 미상 → 만료. ctext.org 는 원문 텍스트 제공(번역 아님). 2026-08-15 재대조: 勺藥 표기 확인.",2026-08-15
q-lit-peony-kimyeongrang,peony,poem,모란이 피기까지는 / 나는 아직 기다리고 있을 테요 / 찬란한 슬픔의 봄을,모란이 피기까지는 / 나는 아즉 기둘리고잇슬테요 찰란한슬픔의 봄을,김영랑,『영랑시집』(1935) 〈모란이 피기까지는〉,https://ko.wikisource.org/wiki/영랑시집/모란이_피기까지는,pd,dearbloom,1934,comfort|anniversary|just_because,"모란은 목본 모란(Paeonia suffruticosa)이라, 꽃집에서 파는 초본 작약(P. lactiflora)과는 다른 종이에요.",김영랑(김윤식) 1903–1950 사망. 한국 기준 1963년 이전 사망 → 만료. 한국어 위키문헌도 PD로 게시.,2026-08-15
q-lit-peony-libai,peony,poem,"구름을 보면 그이의 옷이 떠오르고, 꽃을 보면 그이의 얼굴이 떠오른다 / 봄바람이 난간을 스치니, 이슬 머금은 꽃빛이 짙다",雲想衣裳花想容，春風拂檻露華濃。,이백,〈清平調〉 3수 중 제1수,https://zh.wikisource.org/zh-hant/清平調_(雲想衣裳花想容),pd,dearbloom,743년경,confession|celebration,"이백이 본 꽃도 목본 모란이라, 꽃집의 초본 작약과는 다른 종이에요.",이백 701–762 사망 → 만료.,2026-08-15
q-lit-hydrangea-baijuyi,hydrangea,poem,사람 사는 곳에 있으면서도 아무도 알아보지 못하니 / 내 그대에게 '자양화'라는 이름을 지어 주노라,虽在人间人不识，与君名作紫阳花。,백거이,〈紫陽花〉,https://www.gushiwen.cn/gushiwen_276e4924f3.aspx,pd,dearbloom,822~824,just_because|comfort,백거이가 이름 붙인 꽃은 사실 수국이 아니라 라일락이었다는 견해가 유력해요. 일본에서 이 이름이 수국에 옮겨 붙어 오늘까지 왔어요.,백거이 772–846 사망 → 만료. 출처(고시문망)는 간체자 판본이라 원문도 간체자로 실었다.,2026-08-15
q-lit-lavender-walton,lavender,essay,"이제 정직한 선술집으로 모시겠습니다. 거기엔 말끔한 방이 있고, 창가엔 라벤더가 놓여 있고, 벽에는 노래 스무 편이 붙어 있지요.","I'll now lead you to an honest Alehouse, where we shall find a cleanly room, Lavender in the windowes, and twenty Ballads stuck about the wall;",아이작 월턴,"『조어대전』(The Compleat Angler, 1653)",https://www.gutenberg.org/files/9198/9198-h/9198-h.htm,pd,dearbloom,1653,just_because|comfort|gratitude,1653년 철자(windowes)를 원문 그대로 두었어요.,월턴 1593–1683 사망 → 만료.,2026-08-15
q-lit-lavender-dillydilly,lavender,poem,"라벤더는 푸르고, 딜리 딜리, 라벤더는 초록빛 / 내가 임금이 되면, 딜리 딜리, 그대는 왕비가 되리","Lavender's blue, dilly dilly, lavender's green, / When I am king, dilly dilly, you shall be queen.",전승 동요(영국),〈Lavender’s Blue〉(핼리웰 1849년 판),https://en.wikipedia.org/wiki/Lavender%27s_Blue,pd,dearbloom,1849,confession|just_because,"가장 오래된 기록은 1672~1679년 영국 브로드사이드인데, 거기서는 “diddle, diddle”이라 부르고 초록이 먼저 나와요. 지금 도는 “dilly dilly” 가사는 1849년 판이에요.","1672~1679년 브로드사이드가 최초 기록, 작자 미상 → 만료. 인용한 dilly dilly 가사는 핼리웰 1849년 판(역시 만료).",2026-08-15
q-lit-sunflower-blake,sunflower,poem,"아, 해바라기여! 시간에 지쳐 / 해의 걸음을 세는 이여, / 나그네의 여정이 끝나는 / 그 달콤한 황금의 땅을 찾아 헤매는 이여.","Ah, sunflower, weary of time, / Who countest the steps of the sun; / Seeking after that sweet golden clime / Where the traveller's journey is done;",윌리엄 블레이크,"『경험의 노래』 〈Ah, Sunflower〉(1794)",https://www.gutenberg.org/cache/epub/1934/pg1934.txt,pd,dearbloom,1794,comfort|remembrance,8행 가운데 앞 4행이에요. 구텐베르크의 현대 철자판을 옮겼어요 — 블레이크의 원본은 “Ah! Sun-flower”로 적혀 있어요.,블레이크 1757–1827 사망 → 만료.,2026-08-15
q-lit-sunflower-yundongju,sunflower,poem,누나의 얼굴은 / 해바라기 얼굴 / 해가 금방 뜨자 / 일터에 간다.,,윤동주,『하늘과 바람과 별과 시』 〈해바라기 얼굴〉,https://ko.wikisource.org/wiki/하늘과_바람과_별과_시_(1955년)/해바라기_얼굴,pd,,1938,gratitude|comfort,8행 가운데 아침에 나가는 앞 4행이에요.,윤동주 1917–1945 사망. 한국 기준 1963년 이전 사망 → 만료. 한국어 위키문헌도 PD로 게시.,2026-08-15
q-lit-carnation-winterstale,carnation,play,"이맘때 가장 어여쁜 꽃은 / 우리 카네이션과 줄무늬 든 패랭이랍니다, / 누군가는 자연이 낳은 사생아라 부르지만요.","the fairest flowers o' the season / Are our carnations and streak'd gillyvors, / Which some call nature's bastards",윌리엄 셰익스피어,『겨울 이야기』 4막 4장 (페르디타),http://shakespeare.mit.edu/winters_tale/winters_tale.4.4.html,pd,dearbloom,1611,gratitude|just_because,gillyvors 는 패랭이·카네이션류를 두루 부르던 옛 이름이에요.,셰익스피어 1564–1616 사망 → 만료.,2026-08-15
q-lit-lisianthus-dickinson,lisianthus,poem,"신이 작은 용담꽃 하나를 지으셨다. / 그것은 장미가 되려 했고 / 실패했고, 온 여름이 웃었다.","God made a little gentian; / It tried to be a rose / And failed, and all the summer laughed.",에밀리 디킨슨,『Poems by Emily Dickinson』 2집(Todd·Higginson 편) 〈Fringed Gentian〉,https://etc.usf.edu/lit2go/115/the-poems-of-emily-dickinson-series-two/4497/nature-poem-48-fringed-gentian/,pd,dearbloom,1891,comfort|celebration,"리시안셔스는 용담과라 영어로 prairie gentian 이라 불리지만, 디킨슨이 노래한 fringed gentian 과는 속이 달라요.",디킨슨 1830–1886 사망 → 만료. Todd·Higginson 편 2집 계열(Lit2Go 는 1896년 Roberts Brothers 인쇄본)만 사용 — Johnson(1955)·Franklin(1998) 판본은 편집 저작권 존속이라 그 대시·대문자 표기는 쓰지 않았다.,2026-08-15
q-lit-lotv-songofsongs,lily-of-the-valley,classic,"나는 샤론의 장미요, 골짜기의 백합이다.","I am the rose of Sharon, and the lily of the valleys.",아가 2장 1절,King James Bible(1611) Song of Solomon 2:1,https://en.wikisource.org/wiki/Bible_(King_James)/Song_of_Solomon,pd,dearbloom,1611,confession|anniversary,"은방울꽃의 영어 이름은 이 구절에서 옮겨 왔지만, 성경 속 그 꽃은 이 꽃이 아니었어요.","KJV 1611년, 영국 밖 PD. 한국어는 KJV 영문에서 자체 번역(한국어 성경 번역본 미참조).",2026-08-15
q-lit-chrysanthemum-leejeongbo,chrysanthemum,poem,국화야 너는 어이 삼월춘풍 다 지나고 / 낙목한천에 너 홀로 피었느냐 / 아마도 오상고절은 너뿐인가 하노라,菊花야 너는 어이 三月春風 다 지나고 / 落木寒天에 너 홀로 피었느냐 / 아마도 傲霜孤節은 너뿐인가 하노라,이정보,시조(『해동가요』 등 수록),https://www.ksilbo.co.kr/news/articleView.html?idxno=1011091,pd,dearbloom,18c,gratitude|comfort|remembrance,"전하는 판본이 갈려요. 널리 도는 표기는 '삼월동풍 다 보내고 / 네 홀로 피었는다'이고, 여기 실은 건 출처 기사의 표기예요.",이정보 1693–1766 사망 → 만료.,2026-08-15
q-lit-chrysanthemum-taoyuanming,chrysanthemum,poem,동쪽 울타리 아래에서 국화를 꺾다가 / 무심히 남산을 바라본다,採菊東籬下，悠然見南山。,도연명,〈飲酒〉 20수 중 제5수,https://zh.wikisource.org/wiki/飲酒二十首,pd,dearbloom,5c초,just_because|comfort,,도연명 365?–427 사망 → 만료. 2026-08-15 재대조: 東籬(籬)가 맞고 籐은 오기. ctext 원 URL 은 삭제되어 위키문헌으로 교체.,2026-08-15
q-lit-narcissus-ovid,narcissus,classic,"몸은 어디에도 없었다. 몸이 있던 자리에서 사람들은 꽃 한 송이를 찾아냈다 — / 한가운데는 샛노랗고, 그 둘레를 흰 잎이 감싼 꽃을.",nusquam corpus erat; croceum pro corpore florem / inveniunt foliis medium cingentibus albis.,오비디우스,『변신 이야기』 3권 509~510행,https://www.thelatinlibrary.com/ovid/ovid.met3.shtml,pd,dearbloom,8년경,remembrance|comfort,2천 년 전 묘사한 꽃빛(노란 속과 흰 겉잎)이 지금 파는 수선화와 그대로 맞아떨어져요.,오비디우스 BC 43–AD 17/18 사망 → 만료.,2026-08-15
q-lit-narcissus-wordsworth,narcissus,poem,"나는 골짜기와 언덕 위를 높이 떠가는 / 구름처럼 외로이 거닐었다, / 그러다 문득 보았다, 한 무리를, / 황금빛 수선화의 무리를.","I wandered lonely as a Cloud / That floats on high o'er Vales and Hills, / When all at once I saw a crowd, / A host of golden Daffodils;",윌리엄 워즈워스,『Poems』(1815) 〈I wandered lonely as a Cloud〉,"https://en.wikisource.org/wiki/Poems_(Wordsworth,_1815)/Volume_1/I_wandered_lonely",pd,dearbloom,1815,comfort|just_because|celebration,1807년 초판과 1815년 개정판이 달라요. 이 발췌는 1815년판이에요.,워즈워스 1770–1850 사망 → 만료.,2026-08-15
q-lit-narcissus-kimjeonghui,narcissus,poem,매화가 아무리 높다 해도 뜰의 섬돌을 벗어나지 못하는데 / 맑은 물에 핀 너야말로 얽매임을 벗은 신선이로구나,梅高猶未離庭砌，淸水眞看解脫仙。,김정희,〈水仙花〉(제주 유배기),https://www.hankookilbo.com/News/Read/201801180749181241,pd,dearbloom,1840년대,comfort|gratitude,"김정희가 제주에서 본 수선화는 Narcissus tazetta 계열이라, 절화로 흔한 나팔수선화와는 다른 종이에요.",김정희 1786–1856 사망 → 만료. 한국어는 한자 원문에서 자체 번역(국립중앙박물관 2006년 간행 번역문 미참조).,2026-08-15
q-lit-forgetmenot-coleridge,forget-me-not,poem,"실개천이든 샘가든 젖은 길가든, / 홀로 걷는 길 어디에서도 나는 찾지 못한다, / 시내의 그 푸르고 맑은 눈을 한 작은 꽃을, / 희망의 다정한 보석, 사랑스러운 물망초를.","Nor can I find, amid my lonely walk / By rivulet, or spring, or wet road-side, / That blue and bright-eyed flowret of the brook, / Hope's gentle gem, the sweet Forget-me-not!",새뮤얼 테일러 콜리지,"〈The Keep-sake〉(1802년 작, 1817년 『Sibylline Leaves』 수록)",https://en.wikisource.org/wiki/Sibylline_Leaves_(Coleridge)/The_Keep-sake,pd,dearbloom,1802,remembrance|comfort|anniversary,,콜리지 1772–1834 사망 → 만료.,2026-08-15
q-lit-cherry-narihira,cherry-blossom,poem,이 세상에 / 벚꽃이라는 것이 / 아예 없었더라면 / 봄날의 마음은 / 얼마나 고요했을까,世中にたえてさくらのなかりせは春の心はのとけからまし,아리와라노 나리히라,『고금와카집』 권1 봄노래상 53번,https://ja.wikisource.org/wiki/古今和歌集/巻一,pd,dearbloom,905년경,just_because|comfort,출처는 옛 가나 표기 그대로예요. 오늘날에는 “世の中に たえて桜の なかりせば 春の心は のどけからまし”로 적어요. 5·7·5·7·7 음수율이 있어 번역도 다섯 줄로 끊었습니다.,나리히라 825–880 사망 → 만료. 『고금와카집』 905년경 편찬.,2026-08-15
q-lit-cherry-basho,cherry-blossom,poem,이런저런 일들이 / 자꾸 떠오르는구나 / 벚꽃이여,さまざまの事思ひ出す桜哉,마쓰오 바쇼,"『오이노코부미』(笈の小文, 1688년 작)",https://www.basho-bp.jp/?page_id=24,pd,dearbloom,1688,remembrance|anniversary|comfort,"원래는 긴 머리말이 붙어 있었는데, 바쇼가 문집에 실을 때 전부 덜어 냈어요. 누구의 벚꽃으로도 읽히게 하려던 뜻으로 풀이돼요.",바쇼 1644–1694 사망 → 만료.,2026-08-15
q-lit-camellia-sushi,camellia,poem,그대에게 말해 준들 그대는 모르리라 — / 눈 속에서 불처럼 붉게 피어난다는 것을,說似與君君不會，爛紅如火雪中開。,소식(소동파),〈邵伯梵行寺山茶〉,https://zh.wikisource.org/wiki/廣羣芳譜/卷041,pd,dearbloom,11c,comfort|confession,山茶(산다)는 동백의 한자 이름이에요.,소식 1037–1101 사망 → 만료. 수록 문헌 『광군방보』(1708) 역시 만료.,2026-08-15
q-lit-camellia-kimyujeong,camellia,novel,"산기슭에 널려 있는 굵은 바윗돌 틈에 노란 동백꽃이 소보록하니 깔리었다. … 알싸한, 그리고 향긋한 그 냄새에 나는 땅이 꺼지는 듯이 온 정신이 고만 아찔하였다.",,김유정,"「동백꽃」(1936, 《조광》)",https://ko.wikisource.org/wiki/동백꽃,pd,,1936,confession|just_because,"강원도에서 '동백나무'는 생강나무를 가리켜요. 이 소설의 노란 동백꽃은 꽃집의 붉은 동백(Camellia japonica)이 아니고, 알싸한 냄새가 그 증거예요.",김유정 1908–1937 사망. 한국 기준 1963년 이전 사망 → 만료. 한국어 위키문헌도 PD로 게시.,2026-08-15
q-lit-violet-hamlet,violet,play,"제비꽃도 좀 드리고 싶었지만, 아버지가 돌아가시던 날 모두 시들어 버렸어요.","I would give you some violets, but they withered all when my father died.",윌리엄 셰익스피어,『햄릿』 4막 5장 (오필리아),https://www.folger.edu/explore/shakespeares-works/hamlet/read/4/5/,pd,dearbloom,1601,remembrance|comfort|apology,,셰익스피어 1564–1616 사망 → 만료.,2026-08-15
q-lit-violet-wordsworth,violet,poem,"이끼 낀 돌 곁의 제비꽃 하나, / 눈에 반쯤 가려진!",A Violet by a mossy stone / Half-hidden from the Eye!,윌리엄 워즈워스,〈Song〉(『Lyrical Ballads』 1800년판),https://en.wikisource.org/wiki/Lyrical_Ballads_(1800)/Volume_2/Song,pd,dearbloom,1800,remembrance|comfort,1800년판에는 제목이 그냥 〈Song〉이에요. 오늘날에는 첫 행을 따 〈She dwelt among the untrodden ways〉로 불러요.,워즈워스 1770–1850 사망 → 만료. 『Lyrical Ballads』 1800년판 2권 52쪽 수록.,2026-08-15
q-lit-iris-isemonogatari,iris,classic,입어 길든 당의처럼 / 정든 아내를 두고 왔기에 / 이토록 멀리까지 온 / 이 여행이 사무친다,から衣きつゝなれにしつましあれは遙々きぬる旅をしそ思,『이세 이야기』 9단(아리와라노 나리히라로 전해짐),『伊勢物語』 9단 「東下り」,https://ja.wikisource.org/wiki/伊勢物語,pd,dearbloom,10c,remembrance|comfort|anniversary,か·き·つ·は·た 다섯 글자를 각 구 첫머리에 숨긴 노래예요. 그 かきつばた는 제비붓꽃(Iris laevigata)이라 꽃집의 더치 아이리스와는 다른 종이에요.,"10세기 성립, 작자 미상 → 만료. 위키문헌 『伊勢物語』는 단별 하위 페이지가 없는 통짜 페이지라 9단 전용 URL 이 없다.",2026-08-15
q-lit-iris-winterstale,iris,play,"온갖 백합들, 붓꽃도 그중 하나지요.","lilies of all kinds, / The flower-de-luce being one!",윌리엄 셰익스피어,『겨울 이야기』 4막 4장 (페르디타),http://shakespeare.mit.edu/winters_tale/winters_tale.4.4.html,pd,dearbloom,1611,celebration|gratitude,"flower-de-luce 는 fleur-de-lis, 곧 붓꽃이에요. 셰익스피어는 붓꽃을 백합의 한 갈래로 셌어요.",셰익스피어 1564–1616 사망 → 만료.,2026-08-15
q-lit-marigold-winterstale,marigold,play,해와 함께 잠자리에 들고 / 해와 함께 울며 일어나는 금잔화.,"The marigold, that goes to bed wi' the sun / And with him rises weeping",윌리엄 셰익스피어,『겨울 이야기』 4막 4장 (페르디타),http://shakespeare.mit.edu/winters_tale/winters_tale.4.4.html,pd,dearbloom,1611,comfort|just_because,셰익스피어의 marigold 는 금잔화(Calendula)예요. 꽃집에서 파는 만수국(Tagetes)은 그때 유럽에 막 들어오던 참이었어요.,셰익스피어 1564–1616 사망 → 만료.,2026-08-15
q-lit-poppy-mccrae,corn-poppy,poem,"플랑드르 들판에 개양귀비가 흔들린다 / 십자가와 십자가 사이, 줄줄이 늘어선 그 사이로","In Flanders fields the poppies blow / Between the crosses, row on row,",존 매크레이,"〈In Flanders Fields〉(1915, 《Punch》 12월 8일자)",https://en.wikisource.org/wiki/In_Flanders_Fields_and_Other_Poems/In_Flanders_Fields,pd,dearbloom,1915,remembrance|comfort,서양에서 개양귀비가 추모의 꽃이 된 출발점이에요. 아편 양귀비와는 다른 종이에요.,매크레이 1872–1918 사망 → 만료.,2026-08-15
q-lit-poppy-soseki,corn-poppy,novel,나쓰메 소세키가 1907년 아사히신문에 연재한 장편 소설의 제목이 『우미인초(虞美人草)』입니다. 우미인초는 개양귀비를 부르는 한자 이름이에요.,,나쓰메 소세키,『虞美人草』(1907),https://ja.wikisource.org/wiki/虞美人草,pd,,1907,just_because,발췌가 아니라 dearbloom 이 쓴 소개예요.,소세키 1867–1916 사망 → 만료.,2026-08-15
q-lit-jasmine-lycidas,jasmine,poem,"일찍 피어 홀로 지는 앵초를 가져오라, / 송이진 크로토와 창백한 재스민을,","Bring the rathe Primrose that forsaken dies. / The tufted Crow-toe, and pale Gessamine,",존 밀턴,〈Lycidas〉(1638),"https://en.wikisource.org/wiki/Poems_of_Mr._John_Milton,_Both_English_and_Latin,_Compos'd_at_several_times/Lycidas",pd,dearbloom,1638,remembrance|comfort,Gessamine 은 jasmine 의 1645년 판 철자예요. 바다에서 죽은 친구의 관에 뿌릴 꽃 목록이에요.,밀턴 1608–1674 사망 → 만료.,2026-08-15
q-lit-pansy-lycidas,pansy,poem,"흰 패랭이와, 검은 얼룩이 든 팬지를.","The white Pink, and the Pansie freakt with jeat,",존 밀턴,〈Lycidas〉(1638),"https://en.wikisource.org/wiki/Poems_of_Mr._John_Milton,_Both_English_and_Latin,_Compos'd_at_several_times/Lycidas",pd,dearbloom,1638,remembrance|comfort,여기 'Pink'는 분홍색이 아니라 패랭이꽃(Dianthus)이에요. 1645년 판 철자 그대로예요.,밀턴 1608–1674 사망 → 만료.,2026-08-15
q-lit-cosmos-yundongju,cosmos,poem,"청초(淸楚)한 코스모스는 / 오직 하나인 나의 아가씨, // 코스모스는 / 귀또리 울음에도 수줍어지고,",,윤동주,〈코스모스〉(1938),https://ko.wikisource.org/wiki/코스모스_(윤동주),pd,,1938,confession|just_because,1연과 3연을 옮겼어요(사이 연은 건너뛰었습니다).,윤동주 1917–1945 사망 → 만료. 한국어 위키문헌도 PD로 게시.,2026-08-15
q-lit-magnolia-wangwei,magnolia,poem,가지 끝의 부용 같은 꽃이 / 산속에서 붉은 봉오리를 연다 / 골짜기 집에는 인기척 하나 없고 / 꽃은 하염없이 피었다가 진다,木末芙蓉花，山中发红萼。涧户寂无人，纷纷开且落。,왕유,『망천집』 〈辛夷塢〉(신이오),https://www.gushiwen.cn/gushiwen_fcde3c8887.aspx,pd,dearbloom,8c,comfort|just_because,왕유의 辛夷는 자주색 목련(Magnolia liliiflora) 계열로 보여요. 한국 자생 목련(M. kobus)과는 다른 종이에요.,왕유 699–761 사망 → 만료. 출처(고시문망)는 간체자 판본이라 원문도 간체자로 실었다.,2026-08-15
