name_ko,story_id,title,hook,story_ko,culture_region,era,story_type,source_kind,source_url,confidence,editorial_note
수영,bstory-sorrel-acetaria,1699년 샐러드 책의 필수 재료,존 이블린은 수영을 샐러드에서 결코 빼서는 안 될 재료라고 못 박았어요.,"1699년 영국의 존 이블린은 샐러드만 다룬 책 아세타리아를 펴냈어요. 그 목록의 예순한 번째 항목이 수영이에요. 잎이 둥근 프랑스 종과 잎이 넓은 독일 종을 나누어 적고, 그린란드 수영이 가장 낫다고 했죠. 성질은 차고, 씻어 내리며, 시고, 식욕을 돋우고, 열을 가라앉히고, 간을 식히고, 심장을 튼튼하게 한다고 썼어요. 무엇보다 그는 수영을 괴혈병을 막고 부패를 막는 재료로 보았어요. 나머지 재료에 상큼한 날을 세워 주어서 오렌지와 레몬 같은 신맛 재료가 없을 때 그 자리를 대신하니, 결코 빼서는 안 된다고 못 박았고요.",england,17c,literary,book-pd,https://www.gutenberg.org/files/15517/15517-h/15517-h.htm,single_source,원문 철자는 긴 s를 쓰는 17세기 판본이다. 인용 표현은 전부 새로 옮겨 썼다.
수영,bstory-sorrel-salts-of-lemon,잉크 얼룩을 지운 레몬염,수영에서 나온 옥살산은 '레몬염'이라는 이름으로 팔려 얼룩을 지우는 데 쓰였어요.,"수영의 신맛은 옥살산에서 나와요. 그런데 이 성분은 먹는 것 말고도 쓸모가 있었어요. 수영에서 나온 옥살산염은 레몬염이라는 이름으로 상품이 되어, 밀짚을 표백하거나 리넨에 앉은 녹 자국을 빼거나 잉크 얼룩을 지우는 데 쓰였어요. 약으로도 오래 썼어요. 1세기의 그리스 의사 디오스코리데스와 로마의 대 플리니우스 시절부터 등장하는데, 몸을 식혀 주는 풀로 여겨 열병과 피부 종양, 황달, 몸속 궤양에 썼고 헌데와 멍, 종기, 수두에도 발랐어요. 화살촉 모양 잎은 1700년대까지 유럽 중세 채마밭에서 익숙한 풍경이었어요. 값이 싸고 어디서나 구할 수 있어 가난한 사람의 풀이라는 별명도 붙었고, 도싯의 아이들은 잎을 간식처럼 뜯어 먹었어요.",uk,traditional,history,other,https://www.eatweeds.co.uk/sorrel-rumex-acetosa,single_source,옥살산은 다량 섭취 시 칼슘 흡수를 방해하므로 화면에서 식용 권유로 읽히지 않게 할 것.
소나무,bstory-pine-jeongipumsong,벼슬 받은 소나무 한 그루,임금의 가마가 걸리자 스스로 가지를 들어 올렸다는 나무가 있어요.,"충청북도 보은군 속리산 어귀에는 정이품송이라 불리는 소나무가 서 있어요. 1464년, 세조 10년에 임금이 법주사로 행차하다 이 나무 아래를 지나게 되는데, 처진 가지에 가마가 걸릴 참이었대요. 연이 걸린다는 말이 떨어지자 나무가 스스로 가지를 위로 들어 올려 임금을 지나가게 했다는 이야기가 전해져요. 세조는 그 공을 기려 정이품 벼슬을 내렸고, 그래서 이름이 정이품송이 됐어요. 실제 나무는 높이 약 15미터, 가슴높이 줄기둘레 약 4.7미터에 가지가 동서로 19.9미터, 남북으로 19미터 뻗어 있고, 수령은 500년에서 600년으로 추정돼요. 1962년 12월 7일 천연기념물로 지정됐지만 1970년대 이후 솔잎혹파리 피해를 입어 1982년에는 보호구역과 철책이 설치됐어요.",korea,joseon,folklore,other,https://encykorea.aks.ac.kr/Article/E0030407,repeated,1464년 일화는 전승이며 사료로 확인된 사실이 아니다. 치수·지정일·병해 이력은 사전 항목의 기재값이다.
소나무,bstory-pine-sehando,유배지에서 그린 송백,"벼슬을 잃은 사람 곁에 남은 제자에게, 김정희는 소나무 그림을 보내요.","1844년, 김정희는 제주도 유배지에 있었어요. 지위도 권력도 사라진 자리였죠. 그때 역관 이상적은 두 번이나 북경에서 귀한 책을 구해 스승에게 보냈어요. 김정희는 그 마음에 답해 종이에 먹만으로 그림 한 장을 그려 건넵니다. 세로 23센티미터, 가로 69.2센티미터의 작은 화면에 허름한 집 한 채가 놓이고, 그 좌우로 소나무와 잣나무가 두 그루씩 마주 서 있어요. 겨울에도 잎을 떨구지 않는 나무를 지조의 상징으로 세운 구도예요. 이 그림이 세한도예요. 1974년 국보로 지정됐고 지금은 서울 국립중앙박물관에 있어요.",korea,19c,literary,other,https://encykorea.aks.ac.kr/Article/E0038956,repeated,논어의 '세한연후지송백지후조' 구절 인용 여부는 이 문서에 서술이 없어 언급하지 않았다. 일본 유출과 손재형의 환수 경위도 같은 이유로 뺐다.
소나무,bstory-pine-prometheus,4862개의 나이테,"1964년, 세상에서 가장 오래 산 나무가 나이를 재려던 사람의 손에 잘려 나갔어요.","1964년 여름, 지리학자 도널드 커리는 네바다주 휠러피크에서 브리슬콘 소나무를 조사하고 있었어요. WPN-114라는 번호를 붙인 나무에서 온전한 시료를 얻지 못하자 그는 산림청 허가를 받아 나무를 베고 단면을 통째로 살폈죠. 세어 보니 나이테가 4,862개였어요. 혹독한 해에는 테가 아예 생기지 않는 점을 감안하면 실제 나이는 약 4,900살로 추정됐고요. 당시까지 확인된 가장 오래된 나무였고, 2위였던 캘리포니아의 브리슬콘 소나무는 4,847살이었어요. 2012년에는 같은 지역에서 5,065살 된 나무가 발견됐죠. 프로메테우스라 불린 그 나무의 단면 조각은 지금 그레이트베이슨 방문자센터에 전시돼 있고, 브리슬콘 소나무는 연방 토지에서 보호받고 있어요.",usa,modern,history,museum,https://www.nps.gov/grba/learn/historyculture/the-prometheus-story.htm,repeated,벌목 사유는 국립공원청 자료도 '정확히 알기 어렵다'고 적는다. 천공기 파손설·경험 부족설·단면 필요설이 병존한다.
미나리아재비,bstory-buttercup-chin-glow,턱이 노랗게 물드는 이유,미나리아재비를 턱에 대면 노란빛이 도는 데는 이유가 있어요.,"미나리아재비를 턱 아래 대고 노란빛이 비치면 버터를 좋아하는 거라는 놀이가 유럽에 오래 있었어요. 2011년 케임브리지대 연구진이 그 광학을 실제로 재 봤어요. 꽃잎 표피 세포의 윗면이 유리에 가까울 만큼 매끈한 데다, 표피 아래에 공기층이 얇게 떠 있어 반사면이 하나가 아니라 둘이었어요. 두 면이 겹쳐 반사를 두 배로 만들기 때문에 다른 꽃보다 유독 잘 비친다는 결론이었어요.",britain,21c,history,paper,https://www.cam.ac.uk/research/news/why-buttercups-reflect-yellow-on-chins,repeated,birth-story-p2: J R Soc Interface 2011 게재 논문을 대학이 소개한 자료
미나리아재비,bstory-buttercup-little-frog,작은 개구리라는 이름 그리고 일부러 낸 물집,라눙쿨루스는 라틴어로 '작은 개구리'예요.,"미나리아재비속의 학명 Ranunculus는 라틴어 rana, 곧 개구리에 축소형 어미가 붙은 말이에요. '작은 개구리'라는 뜻이고, 물가와 축축한 자리에 잘 자라 개구리와 이웃이 되기 때문이라고 봐요. 이 풀에는 라눈쿨린이 들어 있는데, 잎이 으깨지면 프로토아네모닌으로 바뀌어 살갗에 물집을 만들어요. 유럽에서는 동정을 사려고 일부러 이 즙으로 물집을 냈다는 이야기가 전해질 만큼 잘 알려진 성질이었어요.",europe,medieval,history,magazine,https://home.howstuffworks.com/ranunculus.htm,repeated,birth-story-p2: 거지들이 물집을 냈다는 대목은 여러 자료에 반복되지만 1차 사료는 확인하지 못했다
담쟁이덩굴,bstory-ivy-last-leaf-behrman,벽에 그려진 잎 하나,폐렴에 걸린 화가는 담쟁이 잎이 다 떨어지면 자기도 죽는다고 했습니다. 마지막 잎은 끝내 떨어지지 않았습니다.,"오 헨리의 단편 「마지막 잎새」에서 존시는 폐렴으로 누워 창밖 벽돌담의 담쟁이덩굴을 세요. 잎이 다 떨어지면 자기도 간다고요. 아래층에는 사십 년 동안 붓을 들고도 걸작 하나 못 그린 늙은 화가 베어먼이 살아요. 늘 걸작을 그리겠다고 말만 하던 사람이에요. 비바람이 몰아친 밤이 지나고, 담쟁이에는 잎 하나가 남아 있었어요. 존시는 살아났고요. 그 잎은 베어먼이 그날 밤 벽에 그려 놓은 그림이었어요. 그리고 베어먼은 그 밤에 걸린 폐렴으로 세상을 떠났어요. 그게 그의 걸작이었어요.",usa,1900s,literary,book-pd,https://www.gutenberg.org/cache/epub/3707/pg3707-images.html,repeated,"birth-story-v1: docs/birth-stories-research-1.md #10. 퍼블릭 도메인 원문(1907년 단편집 The Trimmed Lamp 수록)을 읽고 새로 쓴 문장. 인용부호를 쓴 대목은 없다. 소설 속 덩굴은 아이비(Hedera) 계열이고, 우리가 담쟁이덩굴이라 부르는 Parthenocissus 와는 다른 식물이다."
담쟁이덩굴,bstory-ivy-league-1935-newspaper,아이비리그라는 말은 기자들이 만들었습니다,아이비리그는 대학들이 스스로 붙인 이름이 아니라 스포츠 기자들이 굴리던 말이었습니다.,"아이비리그라는 말이 활자로 처음 확인되는 건 1935년 2월 7일 크리스천 사이언스 모니터예요. 이미 1933년에 뉴욕 트리뷴의 스탠리 우드워드가 비슷하게 쓴 기록도 있고요. 대학들이 모여 스스로 붙인 이름이 아니라 스포츠 기자들이 굴리던 말이었던 거예요. 정작 아이비리그가 정식 운동 연맹이 된 건 한참 뒤예요. 이름의 뿌리는 오래된 교사 벽을 덮은 덩굴이에요. 다만 그 벽을 실제로 덮고 있는 건 우리가 담쟁이덩굴이라 부르는 파르테노키수스인 경우가 많아요. 영어 아이비는 원래 헤데라를 가리키는 말이라, 같은 이름 아래 서로 다른 덩굴이 섞여 있는 셈이에요.",usa,1930s,history,wiki,https://en.wikipedia.org/wiki/Ivy_League,repeated,"birth-story-v1: docs/birth-stories-research-1.md #11. 1935-02-07 크리스천 사이언스 모니터 최초 용례와 1933년 우드워드 기사를 출처에서 확인. 마지막 두 문장의 식물 구분은 우리 편집 판단으로, 어느 덩굴이 덮였는지는 건물마다 다르므로 '많아요'로 폭을 남겼다."
이끼,bstory-moss-sphagnum-field-dressing,늪에서 걷어 온 붕대,1차 세계대전의 표준 지혈대는 공장이 아니라 늪에서 왔습니다. 그걸 걷은 사람은 여자와 아이들이었습니다.,"1차 세계대전 초기에는 상처보다 패혈증으로 죽는 병사가 더 많았어요. 1915년에 군의관 찰스 캐스카트가 옛 기록을 떠올렸어요. 예전에는 물이끼로 상처를 싸맸다는 거예요. 시험해 보니 통했어요. 물이끼는 솜보다 두 배 넘는 피와 진물을 빨아들이고, 산성이라 세균이 잘 못 자라거든요. 그래서 전국 규모의 이끼 채집 사업이 시작됐어요. 보드민 무어에서 셰틀랜드까지, 여자들과 아이들이 차고 젖은 늪에 들어가 이끼를 걷었어요. 말리고 골라 무명 주머니에 채운 그 이끼가 영국과 자치령 군대의 표준 지혈대가 됐어요. 군복 안쪽에 꿰매 넣고 다니는 그 주머니예요.",uk,1910s,history,magazine,https://theconversation.com/war-and-peat-how-bog-moss-helped-save-thousands-of-lives-in-world-war-i-106630,repeated,"birth-story-v1: docs/birth-stories-research-1.md #12. 캐스카트의 이름과 1915년, 흡수력 비교, 채집 지역과 채집자를 출처 본문에서 확인."
이끼,bstory-moss-who-picked-it,그 이끼를 캔 사람들,붕대가 될 이끼를 캔 것은 각지의 여자들과 아이들이었어요.,"물이끼 붕대의 재료는 공장이 아니라 늪지에서 나왔어요. 그것을 캐고 말리고 자루에 채운 것은 온갖 나이의 여성과 아이들이었어요. 캐나다 적십자 온타리오 지부만 해도 1916년 한 해에 100만 장이 넘는 붕대를 만들어 보냈고, 1918년에는 영국에서 한 달에 100만 장이 병원으로 나갔어요. 전선 반대편도 사정은 같아서 독일에서는 민간인은 물론 연합군 포로까지 이 일에 동원됐어요.",britain,20c,history,magazine,https://www.smithsonianmag.com/science-nature/how-humble-moss-helped-heal-wounds-thousands-WWI-180963081/,repeated,birth-story-p2: 스미스소니언 매거진 기사에서 확인된 수치와 인력만 적었다
이끼,bstory-moss-absorbency,제 무게 22배를 머금는 이끼,"세포의 90퍼센트가 죽은 세포라, 물이끼는 제 무게의 22배까지 물을 빨아들여요.","물이끼는 제 무게의 22배까지 물을 머금어요. 탈지면의 두 배죠. 세포의 90퍼센트가 죽은 세포라 애초에 물을 빨아들이게 생긴 구조예요. 게다가 세포벽이 음전하를 띠어 상처 둘레를 산성으로 만들고, 그 산성이 세균 번식을 막아요. 식물학자 아이작 베일리 밸푸어와 군의관 찰스 워커 캐스카트가 쓸 만한 두 종을 골라냈어요. 1916년 캐나다 적십자는 드레싱 100만 장 넘게, 압박포 200만 장 가까이, 패드 100만 장을 보냈고, 1918년에는 영국에서 매달 100만 장이 유럽과 이집트, 메소포타미아의 병원으로 나갔어요. 채집 안내문은 자루를 4분의 3만 채워 마른 땅으로 끌어낸 다음 그 위에서 춤을 춰 물을 빼라고 했어요.",britain,20c,history,magazine,https://www.smithsonianmag.com/science-nature/how-humble-moss-helped-heal-wounds-thousands-WWI-180963081/,repeated,두 종은 Sphagnum papillosum과 S. palustre. 채집 노동이 너무 많이 들어 전후에 사라졌다는 후일담도 같은 기사에 있다.
이끼,bstory-moss-saihoji,설계되지 않은 이끼 정원,교토 사이호지의 이끼 120종은 정원사가 심은 게 아니라 홍수와 방치가 만든 거예요.,"교토 사이호지 정원을 덮은 이끼는 120종이에요. 그런데 처음부터 이끼 정원으로 설계된 게 아니에요. 무소 소세키가 이 절을 되살렸을 때만 해도 황금 연못에 뜬 섬들의 꼭대기는 수면과 거의 같은 높이였어요. 그 뒤 이 일대는 몇 번이나 홍수를 겪었고, 그때마다 연못 바닥을 쳐내 물 높이를 낮추면서 퍼낸 진흙을 섬 위에 쌓았어요. 이끼는 그 진흙에서 자라기 시작했어요. 특히 에도 시대, 절을 손볼 사람이 없어 허물어져 가는 동안 이끼가 두껍게 앉았고, 지금 사람들이 보러 오는 풍경은 그 방치의 결과예요.",japan,edo,history,other,https://www.mlit.go.jp/tagengo-db/en/R1-00439.html,repeated,일본 관광청 문화재 해설 DB 원문. 1994년 세계유산 등재나 부지 면적은 이 항목에 없어 제외했다.
점나도나물,bstory-cerastium-cow-horn-capsule,이름은 소뿔에서 왔습니다,속명 케라스티움은 뿔이라는 뜻입니다. 꽃이 아니라 열매를 보고 붙인 이름입니다.,"점나도나물속의 속명 케라스티움은 그리스어 케라스에서 왔어요. 뿔이라는 뜻이에요. 꽃 이야기가 아니에요. 열매 이야기예요. 이 무리 가운데 어떤 종은 씨앗이 든 꼬투리가 소뿔처럼 살짝 휘어 있거든요. 그 굽은 모양 하나 때문에 속 전체가 뿔이라는 이름을 갖게 된 거예요. 흰 꽃이 무더기로 피는 원예종 케라스티움 토멘토숨은 여름에 내리는 눈이라는 별명으로 불려요. 이탈리아가 고향인데, 흰 꽃이 하도 빽빽하게 피어서 바닥이 하얗게 덮이거든요. 종소명 토멘토숨은 잎과 줄기에 흰 솜털이 덮여 있다는 뜻이고요.",global,modern,history,garden,https://plants.ces.ncsu.edu/plants/cerastium-tomentosum/,repeated,"birth-story-v1: docs/birth-stories-research-1.md #83. 속명 어원(keras=horn)과 굽은 삭과, 별명 Snow-in-summer, 종소명 뜻, 이탈리아 원산을 출처에서 확인."
