read_id,kind,title,source_title,author,source_url,published_at,starts_at,ends_at,region,summary_ko,access,confidence,reviewed_at,tags,links_to,editorial_note
read-taean-autumn-flower-2026,event,2026 태안 가을꽃박람회,코리아플라워파크 (태안군),태안꽃박람회추진위원회,https://www.koreaflowerpark.com/page/sub1_1,,2026-09-17,2026-11-01,충남 태안,가을꽃 여러 종이 한 달 반 동안 이어 피는 박람회예요. 국내에서 가장 길게 열리고 입장료는 어른 1만 원이에요.,open,single_source,2026-08-17,가을|축제|지방,flower:chrysanthemum|flower:zinnia,"공식 페이지 원문: `2026 태안 가을꽃박람회 : … 9월 17일(목) ~ 11월 1일(일)`, 장소 네이처월드. ⚠ **입장료가 있다**(성인 10,000원) — 이 파일의 국내 행사 중 관람료가 명시된 몇 안 되는 곳이라 화면에서 무료처럼 보이지 않게 할 것. 소개된 품목(국화·백일홍·버베나·산파첸스) 중 도감에 있는 국화·백일홍만 걸었다."
read-seoul-garden-expo-2026,event,2026 서울국제정원박람회 (서울숲),서울특별시,서울특별시,https://www.seoul.go.kr/festa/garden/y2026,,2026-05-01,2026-10-27,서울 성동,서울숲이 봄부터 가을까지 통째로 정원이 되는 박람회예요. 여섯 달을 여니 아무 때나 가도 돼요.,open,repeated,2026-08-17,봄|여름|가을|축제|전시|서울·수도권,,서울시 공식 박람회 페이지 원문: `2026. 5. 1. ~ 10. 27.` · `서울숲 일대`. ⚠ 같은 박람회의 **매헌시민의숲 회차(2026. 10. 1. ~ 10. 27.)** 는 소개 페이지에 `(예정)` 이 붙어 있어 싣지 않았다 — 확정되면 별도 행으로 넣으면 된다.
read-seoul-reed-festival-2026,event,제25회 서울억새축제,서울특별시 축제포털,서울특별시 서부공원여가센터,https://festival.seoul.go.kr/festival/main/festivalView.do?festacode=683,,2026-10-17,2026-10-23,서울 마포,하늘공원 억새밭이 일주일 동안 밤까지 열려요. 꽃은 아니지만 가을빛으로는 서울에서 으뜸이에요.,open,single_source,2026-08-17,가을|축제|서울·수도권,,서울시 축제포털 원문: `2026-10-17 ~ 2026-10-23` · `서울월드컵공원 하늘공원 일대`. 라이팅쇼 등 야간 연출이 있다고 같은 페이지가 밝힌다. ⚠ **꽃 축제가 아니라 억새 축제다** — 한 줄 소개에서 그 사실을 감추지 않았다. 억새는 도감에 없어 links_to 를 비웠다.
read-nbgk-flower-path-2026,event,국립한국자생식물원 임영옥 작가 특별전시 《다시 꽃길을 걷다》,국립한국자생식물원,한국수목원정원관리원,https://www.koagi.or.kr/nbgk/user/bbs/BD_selectBbsList.do?q_bbsSn=1046&q_clsfNo=4,,2026-08-15,2026-11-30,강원 평창,우리 산에 사는 풀꽃을 그린 작가의 특별전이에요. 평창 자생식물원에서 늦가을까지 이어져요.,open,single_source,2026-08-17,가을|겨울|전시|지방,,"공식 전시 목록 원문: `임영옥 작가 특별전시 '다시, 꽃길을 걷다'` · `2026-08-15 ~ 2026-11-30`. 원 제목의 쉼표를 뺐다. 목록 URL 을 건 이유는 개별 전시 상세 URL 이 세션 파라미터를 물고 있어 오래 살지 못하기 때문이다 — 목록에서 제목으로 찾으면 된다. 자생 풀꽃이 주제라 도감 종과 겹치지 않아 links_to 를 비웠다."
read-sjna-matisse-2026,event,국립세종수목원 《앙리 마티스가 그린 오색 정원》,국립세종수목원,한국수목원정원관리원,https://sjna.koagi.or.kr/sjna/user/bbs/BD_selectBbs.do?q_bbsSn=1046&q_clsfNo=3&q_bbsDocNo=20260630155037666&q_prgrsStatus=1002,,2026-07-03,2026-12-31,세종,마티스가 사랑한 색으로 온실 정원을 다시 칠한 전시예요. 바깥 꽃이 다 진 뒤에도 색이 남아 있는 몇 안 되는 자리고요.,open,single_source,2026-08-17,여름|가을|겨울|전시|빛깔|지방,,"공식 전시 프로그램 안내 원문: 기간 `2026-07-03 ~ 2026-12-31`, 장소 `사계절전시온실 지중해온실`. **이 파일에서 겨울까지 이어지는 유일한 국내 행사**라 11~12월 목록이 비지 않게 받쳐 준다(docs/reads-research.md §6-3). 색이 주제라 `빛깔` 태그를 함께 붙였다."
read-sbg-adoring-harmony,event,서울식물원 기획전 《다정한 균형: 서로를 비추는》,서울식물원,"구기정, 엄아롱, 이지연, 장한나",https://botanicpark.seoul.go.kr/front/board/newsView.do?sn=19181,2026-06-17,2026-06-23,2027-05-16,서울 강서,식물과 작품이 온실과 정원에 섞여 있는 긴 전시예요. 다만 마곡문화관은 겨울 한때 문을 닫아 두고요.,open,varies,2026-08-17,여름|가을|겨울|봄|전시|서울·수도권,,"공식 안내 원문: `2026. 6. 23. - 2027. 5. 16.`, 장소 `식물문화센터 프로젝트홀2, 주제원, 온실, 마곡문화관`. ⚠ 제목이 공식 안내 안에서도 갈린다 — 공지 제목은 《다정한 균형》, 본문은 《다양한 균형》. 영문 병기가 `Adoring Harmony` 라 **《다정한 균형》 을 채택**했다. ⚠ `2027. 1. 1. - 3. 15.` 마곡문화관 임시휴관 — 그 기간엔 네 장소 중 하나가 닫혀 있다."
read-phs-flower-show-2027,event,PHS Philadelphia Flower Show 2027,Pennsylvania Horticultural Society,,https://phsonline.org/the-flower-show,,2027-03-12,2027-03-21,미국 필라델피아,미국에서 가장 오래됐다는 꽃 박람회예요. 첫날은 회원 프리뷰라 일반 관람은 3월 13일부터 시작해요.,open,single_source,2026-08-17,봄|축제|전시|해외,,"공식 페이지 원문: `The Flower Show will be at the Pennsylvania Convention Center from March 12 - 21, 2027 (Members' Preview Day is March 12, 2027)`. ⚠ 3월 12일은 회원 프리뷰라 일반 관람은 13일부터다 — 날짜만 걸면 오해가 생기니 필요하면 그 사실을 함께 적을 것."
read-keukenhof-2027,event,Keukenhof 2027,Keukenhof,,https://keukenhof.nl/en/,,2027-03-18,2027-05-09,네덜란드 리세,튤립으로 뒤덮이는 정원이 봄 여덟 주 동안만 문을 열어요. 표는 2026년 10월 중순부터 살 수 있고요.,open,repeated,2026-08-17,봄|축제|해외,flower:tulip-white|flower:hyacinth|flower:narcissus,"공식 사이트 원문: `In 2027, Keukenhof is open from 18 March to 9 May`. 튤립·히아신스·수선화가 주인공이라 셋 다 걸었다(도감 id 확인 완료). 티켓은 2026년 10월 중순부터 판매된다고 같은 페이지에 적혀 있다. 송이 수는 공식이 숫자로 못박지 않아 본문에 적지 않았다."
read-rhs-malvern-spring-2027,event,RHS Malvern Spring Festival,Royal Horticultural Society,,https://www.rhs.org.uk/shows-events,,2027-05-06,2027-05-09,영국 우스터셔,첼시보다 두 주 앞서 열리는 봄 정원 축제예요. 그해 정원 시즌의 문을 여는 쇼라 먼저 챙겨 보는 사람이 많아요.,open,repeated,2026-08-17,봄|축제|해외,,RHS 공식 쇼 목록 원문 `RHS Malvern Spring Festival — 6-9 May 2027`.
read-rhs-chelsea-2027,event,RHS Chelsea Flower Show 2027,Royal Horticultural Society,,https://www.rhs.org.uk/shows-events/rhs-chelsea-flower-show,,2027-05-18,2027-05-22,영국 런던,정원을 만드는 사람들이 한 해를 걸고 모이는 자리예요. 당장은 못 가더라도 언젠가 한 번은 가 보고 싶어지는 쇼고요.,open,repeated,2026-08-17,봄|축제|전시|해외,,공식 쇼 페이지(제목이 이미 `RHS Chelsea Flower Show 2027`)와 같은 사이트의 쇼 목록 양쪽에서 `18-22 May 2027` 확인.
read-nmk-black-peony,article,검은 모란 – 먹으로 피운 꽃,국립중앙박물관,,https://www.museum.go.kr/MUSEUM/contents/M0501000000.do?schM=view&relicRecommendId=269064,,,,온라인,꽃 중의 왕이라던 모란을 먹으로만 그린 그림이에요. 색을 다 덜어 냈더니 오히려 남는 것이 있다고 읽어 줘요.,open,single_source,2026-08-17,이야기|온라인,flower:peony|flower:magnolia,심사정의 1767년 수묵 모란도를 큐레이터가 읽어 준다. 목련·난초와 함께 그려져 있어 도감에 있는 두 종을 걸었다. ⚠ 도감의 `peony` 는 작약이고 그림 속 모란은 목단이다 — 같은 Paeonia 속이지만 다른 종이라 화면에서 둘을 같은 꽃처럼 말하지 마라. KOGL 출처표시+변경금지. 같은 사이트의 `/site/main/relic/recommend/view?...` 경로는 빈 껍데기라 쓰지 말 것.
read-encykorea-chrysanthemum,article,국화 (한국민족문화대백과사전),한국민족문화대백과사전,이우철,https://encykorea.aks.ac.kr/Article/E0006563,,,,온라인,국화가 언제 이 땅에 들어왔는지부터 국화주와 국화 베개까지 한자리에 모아 둔 항목이에요. 길지만 읽을 값은 해요.,open,repeated,2026-08-17,가을|이야기|온라인,flower:chrysanthemum,한국학중앙연구원. 1995년 집필·2022-08-31 최종수정. 강희안 『양화소록』이 전하는 전래 기록(충숙왕 때 중국 황제가 보냈다는 설)을 짚는데 stories.csv 의 국화 항목과 겹치지 않는 결이라 함께 두면 좋다. 사군자 맥락은 read-urihistory-sagunja 로 이어진다.
read-urihistory-sagunja,article,도덕적 이상의 표상 — 화조와 사군자에 담은 사대부의 이상,우리역사넷 (국사편찬위원회),백인산,https://contents.history.go.kr/front/km/view.do?levelId=km_019_0060_0010_0020_0010,,,,온라인,조선 선비들이 왜 하필 매화와 국화에 사람 됨됨이를 비췄는지 원전으로 짚어 주는 글이에요. 꽃말의 옛 판본인 셈이고요.,open,single_source,2026-08-17,이야기|온라인,flower:plum-blossom|flower:chrysanthemum,"국사편찬위원회 『한국문화사』의 한 장. 매화=지조, 난초=보이지 않는 덕, 국화=다 시든 뒤에도 제자리, 연꽃=진흙 속 청정으로 읽고 김인후의 매화시·이황의 매화 일화 같은 1차 자료를 든다. 도감에 있는 매화·국화만 걸었다 — 연꽃은 도감의 수련과 다른 종이라 잇지 않았다."
read-khan-flowers-practical,article,꽃보다 실용…각박해진 대한민국?,경향신문,박용하 기자,https://www.khan.co.kr/economy/economy-general/article/201705041740001,2017-05-04,,,온라인,어버이날 대목인데 양재 경매장이 조용했대요. 꽃이 안 팔리는 이유를 경기 탓으로만 돌리지 않는 오래된 기사예요.,open,repeated,2026-08-17,이야기|온라인,flower:carnation,양재 화훼공판장 현장 취재. 카네이션 물량이 전년비 5분의 1가량 줄었다는 숫자와 1인당 꽃 소비액이 5년째 내리막이라는 흐름을 함께 놓는다. ⚠ 2017년 기사라 숫자는 낡았지만 **`꽃은 불필요한 지출인가` 라는 물음 자체가 이 서비스의 배경**이라 남겼다. 최신 숫자는 read-seoul-cutflower-crisis-2026 쪽이 낫다.
read-seoul-cutflower-crisis-2026,article,최대 성수기에도 쌓여만 가는 꽃다발… 화훼농가 값싼 수입 꽃에 폐업 위기,서울신문,,https://www.seoul.co.kr/news/society/2026/05/08/20260508010005,2026-05-08,,,온라인,일 년 중 가장 큰 대목인 5월에도 국산 꽃이 팔리지 않는 이유를 짚은 기사예요. 우리가 사는 꽃의 뒷면이고요.,open,repeated,2026-08-17,이야기|온라인,flower:carnation,생산비 상승·수입 확대·에콰도르산 무관세 우려를 함께 다룬다. 5월 어버이날 맥락이라 카네이션을 걸었다. 원 제목의 말줄임표를 그대로 두되 쉼표는 없어 따옴표를 쓰지 않았다.
read-nongmin-import-flowers,article,[전문가의 눈] 수입 꽃·조화 급증 국내 화훼산업은,농민신문,농민신문사,https://www.nongmin.com/article/20250512500739,2025-05-12,,,온라인,수입 꽃과 조화가 늘면서 국내 화훼가 어디까지 밀렸는지 숫자로 보여 주는 칼럼이에요. 값이 정해지는 자리를 짚어요.,open,repeated,2026-08-17,이야기|온라인,flower:chrysanthemum|flower:carnation|flower:rose-red,"aT 통계로 국화·카네이션·장미 수입량 변화를 짚는다 — 세 품목이 모두 도감에 있어 연결했다. 핵심 주장은 구조적이다: 한국은 수입 절화를 공영 경매에 올리지 않아 가격이 불투명하고 농가가 가격 형성에서 빠진다는 것. 원 제목의 쉼표를 뺐다(원문 `수입 꽃·조화 급증, 국내 화훼산업은`)."
read-guardian-ecuador-roses,article,The true cost of Ecuador's perfect roses: how the global flower trade poisons workers,The Guardian,Lise Josefsen Hermann · Jasper Fabian Wenzel,https://www.theguardian.com/global-development/2026/feb/20/true-cost-ecuador-roses-global-flower-trade-poison-water-workers-land,2026-02-20,,,온라인,우리가 받는 장미가 어디서 어떻게 오는지 산지까지 찾아가 취재한 기사예요. 편하게 읽히는 이야기는 아니에요.,open,single_source,2026-08-17,이야기|온라인,flower:rose-red,"에콰도르 카얌베 고원 현지 취재. 장미가 낙농보다 헥타르당 수익이 높아 원주민 공동체가 수출 화훼로 옮겨 간 사정과, 그 대가로 치르는 물 사용·농약 노출을 함께 놓는다. ⚠ 무거운 기사다 — 선물 추천 흐름 바로 옆에 붙이지 말고 읽을거리 목록 안에 두라."
read-conversation-lowcarbon-roses,article,Why 'low carbon' roses are flown around the world,The Conversation,Will de Freitas,https://theconversation.com/why-low-carbon-roses-are-flown-around-the-world-249769,2025-02-12,,,온라인,비행기로 실어 온 장미가 오히려 탄소를 덜 쓸 수도 있대요. 따져 보면 직관과 반대라 한 번쯤 읽어 둘 만해요.,open,single_source,2026-08-17,이야기|온라인,flower:rose-red,적도의 햇빛으로 기른 장미를 항공으로 옮기는 편이 난방한 유리온실보다 탄소가 적을 수 있다는 셈법을 풀어 준다. read-guardian-ecuador-roses 와 **같은 산업을 정반대 각도에서** 본다 — 둘을 나란히 놓으면 어느 한쪽으로 몰지 않게 된다. 크리에이티브 커먼즈.
read-natgeo-aalsmeer,article,Inside the world's largest flower market—the likely source of your Valentine's bouquet,National Geographic,Meaghen Brown,https://www.nationalgeographic.com/culture/article/aalsmeer-flower-auction,2026-02-12,,,온라인,세계 꽃의 절반이 거쳐 간다는 경매장 이야기예요. 열람 횟수 제한이 있어 막힐 수도 있는 곳이고요.,paywall,single_source,2026-08-17,이야기|온라인,,"알스미어 로열 플로라홀란드 경매장. 시계 바늘이 거꾸로 내려가며 값을 매기는 하강식 경매와 냉장 물류를 다룬다. ⚠ **처음엔 `open` 으로 두었다가 `paywall` 로 올렸다** — 로그인 없이 전문이 열리기는 하지만 내셔널지오그래픽은 사이트 전체에 열람 횟수 제한을 걸어 둔다. ""열릴 수도 막힐 수도"" 인 링크는 **막혔을 때의 실망이 열렸을 때의 이득보다 크다**는 판단으로 미리 알리는 쪽을 골랐다(docs/reads-research.md §3-4)."
read-smithsonian-orchidelirium,article,Orchidelirium an Obsession with Orchids Has Lasted for Centuries,Smithsonian Magazine,Li Zhou,https://www.smithsonianmag.com/smithsonian-institution/orchidelirium-obsession-orchids-lasted-centuries-180954060/,2015-01-29,,,온라인,한 포기에 집 한 채 값이던 난초가 어쩌다 마트 화분이 됐는지 따라가는 글이에요. 값이 무너진 이유가 기술이래요.,open,single_source,2026-08-17,이야기|온라인,flower:phalaenopsis,19세기 난초 광풍과 그것을 끝낸 기술(워드 상자·조직배양)을 다룬다. 도감의 호접란(`phalaenopsis`)이 바로 그 `흔해진 난초` 라 연결했다. stories.csv 의 튤립 버블 계열과 결이 같아 함께 보여 주면 좋다. 원 제목의 쉼표 두 개를 뺐다.
read-kew-pollination-tales,article,Tales from the world of pollination,Royal Botanic Gardens Kew,Francesca Mackenzie,https://www.kew.org/read-and-watch/tales-from-the-world-of-pollination,2017-06-02,,,온라인,다윈이 꽃 하나를 보고 아직 발견되지 않은 나방이 있을 거라 했대요. 그 예언이 맞은 건 130년 뒤였고요.,open,single_source,2026-08-17,이야기|온라인,,"1862년 다윈이 30cm 꿀주머니를 가진 마다가스카르 난초를 받고 그에 맞는 주둥이를 가진 나방을 예언했고, 표본은 1907년·실제 흡밀 관찰은 1992년에야 확인됐다는 이야기. ⚠ 큐(kew.org)는 클라우드플레어 뒤에 있어 UA 만으로는 간헐적으로 403 이 뜬다 — 죽은 링크가 아니다(docs/reads-research.md §5-2)."
read-kew-sotwpf-2026,article,State of the World's Plants and Fungi 2026: Is technology nature's ally?,Royal Botanic Gardens Kew,,https://www.kew.org/read-and-watch/sotwpf-2026-summary,,,,온라인,큐 왕립식물원이 내는 지구 식물 보고서를 짧게 간추린 글이에요. 올해는 기술이 자연 편인지를 되묻고 있고요.,open,single_source,2026-08-17,이야기|온라인,,보고서 본체가 아니라 요약 페이지를 건 이유는 본체가 PDF 라 모바일에서 읽기 어렵기 때문이다. 큐 출처가 이 파일에 2건 있다(§2 기준 #6) — 다음 회차에는 큐를 늘리지 말고 다른 기관을 찾을 것.
read-jstor-hyacinth,article,Plant of the Month: Hyacinth,JSTOR Daily,Liz Tracey,https://daily.jstor.org/plant-of-the-month-hyacinth/,,,,온라인,히아신스 알뿌리 하나가 어쩌다 경제사에 이름을 남기게 됐는지 되짚는 글이에요. 튤립만 그랬던 게 아니었대요.,open,single_source,2026-08-17,봄|이야기|온라인,flower:hyacinth,도감의 `hyacinth` 와 정확히 같은 꽃이다. stories.csv 의 `story-hyacinth-bubble-1737`(히아신스 알뿌리 투기)과 소재가 겹치니 화면에서 둘을 나란히 놓으면 좋다.
read-rhs-cut-conditioning,guide,Cut flowers: cutting and conditioning,Royal Horticultural Society,,https://www.rhs.org.uk/plants/for-places/cut-flowers-conditioning,,,,온라인,줄기를 언제 어떻게 자르고 물에 앉히는지 꽃 종류별로 갈라 알려 주는 안내예요. 받은 날 바로 해 두면 좋아요.,open,repeated,2026-08-17,꽃 다루기|온라인,flower:delphinium|flower:amaryllis,⚠ 예전 경로 `/plants/types/cut-flowers/conditioning-and-caring` 는 **404** 다. RHS 가 절화 안내를 `/plants/for-places/` 아래로 옮겼다 — 옛 URL 이 도는 자료가 많으니 되살리지 말 것. 속 빈 줄기(델피니움·아마릴리스)를 물로 채워 솜으로 막는 처리법이 그 두 종과 직접 이어져 연결했다.
read-rhs-cut-growing,guide,Cut flowers: growing and selection,Royal Horticultural Society,,https://www.rhs.org.uk/plants/for-places/cut-flowers-growing,,,,온라인,어떤 꽃이 꽃병에서 오래 버티는지 계절별로 갈라 놓은 안내예요. 무엇을 고를지 정하기 전에 훑어보면 좋아요.,open,repeated,2026-08-17,꽃 다루기|온라인,,read-rhs-cut-conditioning 의 짝 페이지. 계절 축이 있어 `이달의 꽃` 류 화면과 붙이기 좋다.
read-rhs-everlasting-flowers,guide,Everlasting flowers - four experts advise which to grow,Royal Horticultural Society,,https://www.rhs.org.uk/garden-inspiration/floristry/everlasting-flowers,,,,온라인,말려도 색이 죽지 않는 꽃들을 전문가 넷이 각자 골라 준 글이에요. 오래 두고 볼 꽃을 찾는다면 여기부터고요.,open,single_source,2026-08-17,꽃 다루기|빛깔|온라인,flower:statice,드라이플라워의 대표 격인 스타티스가 도감에 있어 걸었다. ⚠ `statice` 는 2026-08-17 현재 flowers.csv 에 들어와 있는 확장 배치 12종 중 하나다 — 그 배치가 되돌려지면 이 연결이 깨진다.
read-nongsaro-vase-life,guide,절화(切花) 수명 연장시키는 간편한 방법,농사로 (농촌진흥청),농촌진흥청,https://www.nongsaro.go.kr/portal/ps/psz/psza/contentSub.ps?cntntsNo=26104&menuId=PS00098,,,,온라인,집에 있는 것들로 꽃을 조금 더 오래 두는 방법을 아홉 가지 모아 둔 자료예요. 검증된 것과 아닌 것이 섞여 있어요.,open,single_source,2026-08-17,꽃 다루기|온라인,,⚠ **정직 주의.** 농진청 포털 자료가 맞지만 내용에 민간요법성 항목이 섞여 있다(맥주·찻물·아스피린 등). 실험으로 검증된 것과 전해 내려오는 것이 한 목록에 나란히 있으므로 화면에서 `농촌진흥청이 권합니다` 식으로 뭉뚱그리지 마라. 근거가 단단한 쪽은 read-nongsaro-preservative 와 read-nongmin-keep-flowers 다.
read-nongsaro-preservative,guide,절화(切花) 선도(鮮度) 유지액의 종류와 사용방법,농사로 (농촌진흥청),농촌진흥청,https://www.nongsaro.go.kr/portal/ps/psz/psza/contentSub.ps?cntntsNo=26044&menuId=PS00098,,,,온라인,꽃 종류마다 보존액을 어떻게 타는지 농도까지 적어 둔 표예요. 꽤 전문적이지만 근거를 확인하기에는 좋아요.,open,single_source,2026-08-17,꽃 다루기|온라인,flower:chrysanthemum|flower:rose-red|flower:gladiolus|flower:tulip-white|flower:phalaenopsis|flower:peony|flower:freesia|flower:sweet-pea,17개 품목별 보존액 조성과 연장 일수가 표로 정리돼 있다. 그중 도감에 있는 8종을 걸었다(`phalaenopsis` 는 확장 배치 12종 중 하나). 전문 자료라 화면에서는 `왜 절화 보존액이 듣는가` 의 근거로만 쓰고 수치를 그대로 옮기지 말 것.
