month,day,name_ko,slug,commons_page_url,direct_url,author,license,width,species_note,family_line
1,21,담쟁이덩굴,damjaengideonggul,https://commons.wikimedia.org/wiki/File:Poertschach_Hauptstrasse_Parthenocissus_tricuspidata_Blattwerk_04062015_4423.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Poertschach_Hauptstrasse_Parthenocissus_tricuspidata_Blattwerk_04062015_4423.jpg/1280px-Poertschach_Hauptstrasse_Parthenocissus_tricuspidata_Blattwerk_04062015_4423.jpg,Johann Jaritz,CC BY-SA 4.0,7360,name_en은 Ivy지만 name_ko 담쟁이덩굴 기준으로 Parthenocissus tricuspidata 채택(서양 Ivy=Hedera와는 다른 종),포도과의 낙엽 덩굴식물이에요 — 흡반 달린 덩굴손으로 담벼락을 타고 오릅니다.
1,22,이끼,ikki-0122,https://commons.wikimedia.org/wiki/File:Polytrichum_commune_.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Polytrichum_commune_.jpg/1280px-Polytrichum_commune_.jpg,Hans Hillewaert,CC BY-SA 4.0,3800,총칭 '이끼' — 대표 선태식물 솔이끼(Polytrichum commune) 군락,꽃 대신 포자로 번지는 선태식물이에요 — 그늘지고 축축한 땅을 초록 융단처럼 덮습니다.
1,23,부들,budeul,https://commons.wikimedia.org/wiki/File:Bulrush_(Typha_latifolia)_(8139113636).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Bulrush_%28Typha_latifolia%29_%288139113636%29.jpg/1280px-Bulrush_%28Typha_latifolia%29_%288139113636%29.jpg,"Peter O'Connor aka anemoneprojectors from Stevenage, United Kingdom",CC BY-SA 2.0,2738,학명 없음 — name_en Bulrush 기준으로 부들속 대표종 Typha latifolia 채택. 한국 자생 부들(T. orientalis)과 외형이 같은 근연종,물가에 서는 부들과의 여러해살이풀이에요 — 여름이면 소시지 모양의 갈색 암꽃차례가 곧게 올라옵니다.
1,24,가을에 피는 사프란,gaeule-pineun-sapeuran,https://commons.wikimedia.org/wiki/File:Macro_photograph_of_saffron_flower_(Crocus_sativus).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Macro_photograph_of_saffron_flower_%28Crocus_sativus%29.jpg/1280px-Macro_photograph_of_saffron_flower_%28Crocus_sativus%29.jpg,Koshur,CC BY-SA 4.0,9000,파일 설명 Crocus sativus 일치 — 붉은 암술 확인,"붓꽃과의 알뿌리 식물이에요 — 가을에 보랏빛 꽃을 피우고, 붉은 암술을 말려 사프란 향신료로 씁니다."
1,25,점나도나물,jeomnadonamul,https://commons.wikimedia.org/wiki/File:Common_Mouse-ear_(Cerastium_fontanum)_(9163760223).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/86/Common_Mouse-ear_%28Cerastium_fontanum%29_%289163760223%29.jpg/1280px-Common_Mouse-ear_%28Cerastium_fontanum%29_%289163760223%29.jpg,"Peter O'Connor aka anemoneprojectors from Stevenage, United Kingdom",CC BY-SA 2.0,2664,CSV 속명 Cerastium — 점나도나물에 해당하는 C. fontanum,석죽과의 작은 들풀이에요 — 잔털 덮인 줄기 끝에 끝이 갈라진 흰 꽃잎을 답니다.
1,26,미모사,mimosa,https://commons.wikimedia.org/wiki/File:Mimosa_pudica_flower_DSC_4267.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Mimosa_pudica_flower_DSC_4267.jpg/1280px-Mimosa_pudica_flower_DSC_4267.jpg,Ranjithsiji,CC BY-SA 4.0,6000,파일 설명 Mimosa pudica 일치,"콩과의 열대성 풀이에요 — 잎을 건드리면 곧바로 접히고, 분홍 솜방울 같은 꽃이 핍니다."
1,27,마가목,magamok,"https://commons.wikimedia.org/wiki/File:(Sorbus_commixta_in_Mount_Nishi-Hotaka,_Japan)_-_DPLA_-_89bc6c038fe5f982c1bc4cbd61845136.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/%28Sorbus_commixta_in_Mount_Nishi-Hotaka%2C_Japan%29_-_DPLA_-_89bc6c038fe5f982c1bc4cbd61845136.jpg/1280px-%28Sorbus_commixta_in_Mount_Nishi-Hotaka%2C_Japan%29_-_DPLA_-_89bc6c038fe5f982c1bc4cbd61845136.jpg,"Carlquist, Sherwin John, 1930-2021",CC BY 4.0,1500,"CSV 속명 Sorbus — 한국 마가목 S. commixta 개화 사진(원본 1500px, 개체 원경)",장미과의 낙엽 큰키나무예요 — 초여름엔 흰 꽃이 우산처럼 모여 피고 가을엔 붉은 열매가 달립니다.
1,28,검은 포플라,geomeun-popeulra,https://commons.wikimedia.org/wiki/File:PopulusNigra2a.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/PopulusNigra2a.jpg/1280px-PopulusNigra2a.jpg,Christian Fischer,CC BY-SA 3.0,2000,파일 설명 Populus nigra ssp. nigra 노거수 수형,버드나무과의 낙엽 큰키나무예요 — 물가에서 곧게 자라며 봄에 늘어진 꽃차례를 답니다.
1,29,이끼,ikki-0122,https://commons.wikimedia.org/wiki/File:Polytrichum_commune_.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Polytrichum_commune_.jpg/1280px-Polytrichum_commune_.jpg,Hans Hillewaert,CC BY-SA 4.0,3800,총칭 '이끼' — 대표 선태식물 솔이끼(Polytrichum commune) 군락,꽃 대신 포자로 번지는 선태식물이에요 — 그늘지고 축축한 땅을 초록 융단처럼 덮습니다.
1,30,매쉬 메리골드,maeswi-merigoldeu,https://commons.wikimedia.org/wiki/File:Caltha_palustris_in_Avoriaz_(3).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Caltha_palustris_in_Avoriaz_%283%29.jpg/1280px-Caltha_palustris_in_Avoriaz_%283%29.jpg,Krzysztof Golik,CC BY-SA 4.0,2977,파일 설명 Caltha palustris 일치,미나리아재비과의 습지 식물이에요 — 이른 봄 물가에서 윤나는 노란 꽃을 피웁니다.
2,2,모과,mogwa,https://commons.wikimedia.org/wiki/File:Pseudocydonia_sinensis_flower.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Pseudocydonia_sinensis_flower.JPG/1280px-Pseudocydonia_sinensis_flower.JPG,Rorolinus,CC BY-SA 3.0,4608,CSV name_en Chaenomeles는 모과나무 구학명 Chaenomeles sinensis — 현재 학명 Pseudocydonia sinensis 개화 사진 채택,장미과의 낙엽 큰키나무예요 — 봄에 연분홍 꽃이 피고 가을엔 향이 진한 노란 열매가 열립니다.
2,3,황새냉이,hwangsaenaengi,https://commons.wikimedia.org/wiki/File:Cardamine_flexuosa_kz06.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Cardamine_flexuosa_kz06.jpg/1280px-Cardamine_flexuosa_kz06.jpg,"Krzysztof Ziarnek, Kenraiz",CC BY-SA 4.0,3578,CSV 속명 Cardamine — 황새냉이에 해당하는 C. flexuosa,십자화과의 작은 봄나물이에요 — 논둑과 밭가에서 흰 꽃잎 네 장을 십자로 펼칩니다.
2,5,양치,yangchi-0205,https://commons.wikimedia.org/wiki/File:Athyrium_filix-femina0.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Athyrium_filix-femina0.jpg/1280px-Athyrium_filix-femina0.jpg,MPF,CC BY 2.5,2848,총칭 '양치' — 대표 양치식물 개고사리(Athyrium filix-femina),꽃 대신 포자로 번지는 양치식물이에요 — 돌돌 말린 새순이 펴지며 깃털 같은 잎이 됩니다.
2,6,바위솔,bawisol,https://commons.wikimedia.org/wiki/File:Orostachys_japonica_(flower).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Orostachys_japonica_%28flower%29.jpg/1280px-Orostachys_japonica_%28flower%29.jpg,Alpsdake,CC BY-SA 4.0,3981,파일 설명 Orostachys japonica 일치 — 개화 상태,돌나물과의 다육식물이에요 — 바위와 기와 위에 붙어 살다 가을에 흰 꽃대를 탑처럼 올립니다.
2,8,범의귀,beomuigwi-0208,https://commons.wikimedia.org/wiki/File:Saxifraga_fortunei_GotBot_2015_001.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/Saxifraga_fortunei_GotBot_2015_001.jpg/1280px-Saxifraga_fortunei_GotBot_2015_001.jpg,Averater,CC BY 4.0,5496,"속 대표종 — CSV가 Saxifrage(범의귀속)만 제시해, 식물원 라벨로 종이 확인된 Saxifraga fortunei 채택",바위틈에 뿌리내리는 범의귀과의 여러해살이풀이에요 — 가는 꽃대 끝에 흰 꽃이 흩날리듯 달립니다.
2,9,은매화,eunmaehwa,https://commons.wikimedia.org/wiki/File:Myrtus_communis11.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Myrtus_communis11.jpg/1280px-Myrtus_communis11.jpg,Giancarlo Dessì,CC BY-SA 3.0,2608,파일 설명 Myrtus communis 개화 사진,지중해가 고향인 도금양과의 늘푸른 관목이에요 — 수술이 부챗살처럼 퍼진 흰 꽃에서 맑은 향이 납니다.
2,10,서향,seohyang-0210,https://commons.wikimedia.org/wiki/File:Daphn%C3%A9_odora_en_fleurs_-_panoramio.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Daphn%C3%A9_odora_en_fleurs_-_panoramio.jpg/1280px-Daphn%C3%A9_odora_en_fleurs_-_panoramio.jpg,chisloup,CC BY 3.0,4000,파일 설명 Daphne odora 개화 사진,"팥꽃나무과의 늘푸른 관목이에요 — 이른 봄, 잎보다 먼저 뭉친 꽃송이에서 멀리까지 향이 퍼집니다."
2,11,멜리사,melrisa,https://commons.wikimedia.org/wiki/File:Melissa_officinalis_J1.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Melissa_officinalis_J1.jpg/1280px-Melissa_officinalis_J1.jpg,Jamain,CC BY-SA 3.0,3900,파일 설명 Melissa officinalis 일치,꿀풀과의 여러해살이 허브예요 — 잎을 문지르면 레몬 향이 나서 차로 즐겨 마십니다.
2,12,쥐꼬리망초,jwikkorimangcho,https://commons.wikimedia.org/wiki/File:Rostellularia_procumbens_by_kadavoor.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Rostellularia_procumbens_by_kadavoor.jpg/1280px-Rostellularia_procumbens_by_kadavoor.jpg,"Jeevan Jose, Kerala, India",CC BY-SA 4.0,1536,파일 설명 Justicia procumbens 일치(파일명은 이명 Rostellularia procumbens),쥐꼬리망초과의 한해살이풀이에요 — 길가에서 이삭 모양 꽃차례에 연분홍 꽃을 차례로 답니다.
2,13,갈풀,galpul,"https://commons.wikimedia.org/wiki/File:Phalaris_arundinacea_flowers,_rietgras_bloempjes_(1).jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Phalaris_arundinacea_flowers%2C_rietgras_bloempjes_%281%29.jpg/1280px-Phalaris_arundinacea_flowers%2C_rietgras_bloempjes_%281%29.jpg,Rasbak,CC BY-SA 3.0,3264,파일 설명 Phalaris arundinacea 꽃차례,물가에 무리 짓는 벼과의 여러해살이풀이에요 — 초여름에 이삭이 촘촘히 뭉친 꽃차례를 세웁니다.
2,14,카모밀레,kamomilre,https://commons.wikimedia.org/wiki/File:Matricaria_Chamomilla_Flowers.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Matricaria_Chamomilla_Flowers.jpg/1280px-Matricaria_Chamomilla_Flowers.jpg,Sarbast.T.Hameed,CC BY-SA 4.0,6000,파일 설명 Matricaria chamomilla 일치,국화과의 한해살이 허브예요 — 사과 향이 나는 흰 꽃을 말려 차로 우려 마십니다.
2,15,삼나무,samnamu-0215,https://commons.wikimedia.org/wiki/File:Kanagawa-birin50-daiyuuzan.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Kanagawa-birin50-daiyuuzan.JPG/1280px-Kanagawa-birin50-daiyuuzan.JPG,Σ64,CC BY-SA 3.0,2272,name_ko 삼나무 기준 Cryptomeria japonica(스기) 채택 — name_en Cedar(Cedrus)와는 다른 종이라 한국명을 우선,측백나무과의 늘푸른 침엽수예요 — 곧게 뻗은 붉은 줄기와 송곳 같은 잎이 숲을 이룹니다.
2,16,월계수,wolgyesu,https://commons.wikimedia.org/wiki/File:Laurus_nobilis_HRM1.jpg,https://upload.wikimedia.org/wikipedia/commons/1/1f/Laurus_nobilis_HRM1.jpg,Cillas,CC BY-SA 4.0,1280,파일 설명 Laurus nobilis 개화(마드리드 왕립식물원) — 원본 1280px,"지중해에서 온 녹나무과의 늘푸른 나무예요 — 봄에 노란 꽃이 잎겨드랑이에 모여 피고, 잎은 향신료로 씁니다."
2,17,야생화,yasaenghwa,https://commons.wikimedia.org/wiki/File:Wildflower_Meadow_(6997737191).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Wildflower_Meadow_%286997737191%29.jpg/1280px-Wildflower_Meadow_%286997737191%29.jpg,"Mount Rainier National Park from Ashford, WA, United States",Public domain,2560,총칭 '야생화' — 특정 종이 아니라 아고산 야생화 군락(루피너스·인디언페인트브러시 등) 사진 채택,누가 심지 않아도 제 자리에서 피는 들꽃들이에요 — 계절마다 다른 얼굴로 초원을 물들입니다.
2,18,미나리아재비,minariajaebi-0120,https://commons.wikimedia.org/wiki/File:Ranunculus_japonicus_3.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Ranunculus_japonicus_3.JPG/1280px-Ranunculus_japonicus_3.JPG,Dalgial,CC BY-SA 3.0,4272,name_en Butter Cup — 한국 미나리아재비 Ranunculus japonicus,미나리아재비과의 여러해살이풀이에요 — 기름을 바른 듯 반짝이는 노란 꽃잎이 특징입니다.
2,19,떡갈나무,tteokgalnamu-0219,https://commons.wikimedia.org/wiki/File:Daimyo_Oak_20170513_IMG_8412.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Daimyo_Oak_20170513_IMG_8412.jpg/1280px-Daimyo_Oak_20170513_IMG_8412.jpg,あおもりくま(Aomorikuma),CC BY-SA 4.0,3264,파일 설명 Quercus dentata 수꽃차례,"참나무과의 낙엽 큰키나무예요 — 봄에 늘어진 수꽃차례를 달고, 두툼한 잎으로 떡을 싸기도 했습니다."
2,20,칼미아,kalmia,https://commons.wikimedia.org/wiki/File:Mountain_Laurel_in_Bloom_(33956585443).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Mountain_Laurel_in_Bloom_%2833956585443%29.jpg/1280px-Mountain_Laurel_in_Bloom_%2833956585443%29.jpg,"Katja Schulz from Washington, D. C., USA",CC BY 2.0,4000,CSV 속명 Kalmia — K. latifolia 개화. 설명만 Kalmia이고 실물이 다른 속으로 보이는 후보 파일은 배제,북아메리카가 고향인 진달래과의 늘푸른 관목이에요 — 접시 모양 꽃이 공처럼 모여 핍니다.
2,21,네모필라,nemopilra,https://commons.wikimedia.org/wiki/File:Nemophila_menziesii_7794.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Nemophila_menziesii_7794.JPG/1280px-Nemophila_menziesii_7794.JPG,Walter Siegmund,CC BY-SA 4.0,3456,파일 설명 Nemophila menziesii 일치,지치과의 한해살이풀이에요 — 하늘빛 다섯 장 꽃잎이 낮게 깔리며 봄 들판을 물들입니다.
2,22,무궁화,mugunghwa-0222,"https://commons.wikimedia.org/wiki/File:Flower_of_hibiscus_syriacus_in_Hakozaki_Campus,_Kyushu_University.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Flower_of_hibiscus_syriacus_in_Hakozaki_Campus%2C_Kyushu_University.jpg/1280px-Flower_of_hibiscus_syriacus_in_Hakozaki_Campus%2C_Kyushu_University.jpg,そらみみ (Soramimi),CC BY-SA 4.0,2448,파일 설명 Hibiscus syriacus(무궁화) 일치,아욱과의 낙엽 관목이자 우리나라 나라꽃이에요 — 여름 내내 아침마다 새 꽃을 피웁니다.
2,23,살구꽃,salgukkot,"https://commons.wikimedia.org/wiki/File:%D0%90%D0%BB%D0%BC%D0%B0%D1%82%D1%8B,_%D1%80%D0%BE%D1%89%D0%B0_%D0%91%D0%B0%D1%83%D0%BC%D0%B0,_%D1%86%D0%B2%D0%B5%D1%82%D0%B5%D0%BD%D0%B8%D0%B5_%D0%B0%D0%B1%D1%80%D0%B8%D0%BA%D0%BE%D1%81%D0%B0_(5).jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/%D0%90%D0%BB%D0%BC%D0%B0%D1%82%D1%8B%2C_%D1%80%D0%BE%D1%89%D0%B0_%D0%91%D0%B0%D1%83%D0%BC%D0%B0%2C_%D1%86%D0%B2%D0%B5%D1%82%D0%B5%D0%BD%D0%B8%D0%B5_%D0%B0%D0%B1%D1%80%D0%B8%D0%BA%D0%BE%D1%81%D0%B0_%285%29.jpg/1280px-%D0%90%D0%BB%D0%BC%D0%B0%D1%82%D1%8B%2C_%D1%80%D0%BE%D1%89%D0%B0_%D0%91%D0%B0%D1%83%D0%BC%D0%B0%2C_%D1%86%D0%B2%D0%B5%D1%82%D0%B5%D0%BD%D0%B8%D0%B5_%D0%B0%D0%B1%D1%80%D0%B8%D0%BA%D0%BE%D1%81%D0%B0_%285%29.jpg,ElenaLitera,CC BY-SA 4.0,3984,CSV 속명 Prunus — 살구 P. armeniaca 개화(알마티),장미과의 낙엽 큰키나무예요 — 잎이 나기 전 연분홍 꽃이 가지를 가득 덮습니다.
2,24,빙카,bingka,https://commons.wikimedia.org/wiki/File:A_flower_of_lesser_periwinkle_(Vinca_minor)_close_up.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/A_flower_of_lesser_periwinkle_%28Vinca_minor%29_close_up.jpg/1280px-A_flower_of_lesser_periwinkle_%28Vinca_minor%29_close_up.jpg,Naturformidleren,CC BY-SA 4.0,4624,name_en Periwinkle — Vinca minor 꽃 근접,협죽도과의 늘푸른 덩굴성 풀이에요 — 그늘진 땅을 덮으며 보랏빛 바람개비 같은 꽃을 피웁니다.
2,25,사향장미,sahyangjangmi,https://commons.wikimedia.org/wiki/File:Rosa_moschata_-_Rosengarten_am_Schlo%C3%9Fberg.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/Rosa_moschata_-_Rosengarten_am_Schlo%C3%9Fberg.jpg/1280px-Rosa_moschata_-_Rosengarten_am_Schlo%C3%9Fberg.jpg,Wilrooij,CC BY-SA 4.0,5472,파일 설명 Rosa moschata 개화(장미원),장미과의 덩굴성 장미예요 — 홑겹 흰 꽃에서 사향을 닮은 진한 향이 납니다.
2,26,아도니스,adoniseu,"https://commons.wikimedia.org/wiki/File:%E5%81%B4%E9%87%91%E7%9B%9E%E8%8A%B1_Adonis_amurensis_-%E9%A6%96%E7%88%BE%E5%88%87%E9%A0%AD%E5%B1%B1%E5%85%AC%E5%9C%92_Seoul,_South_Korea-_(33823991311).jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/%E5%81%B4%E9%87%91%E7%9B%9E%E8%8A%B1_Adonis_amurensis_-%E9%A6%96%E7%88%BE%E5%88%87%E9%A0%AD%E5%B1%B1%E5%85%AC%E5%9C%92_Seoul%2C_South_Korea-_%2833823991311%29.jpg/1280px-%E5%81%B4%E9%87%91%E7%9B%9E%E8%8A%B1_Adonis_amurensis_-%E9%A6%96%E7%88%BE%E5%88%87%E9%A0%AD%E5%B1%B1%E5%85%AC%E5%9C%92_Seoul%2C_South_Korea-_%2833823991311%29.jpg,阿橋 HQ,CC BY-SA 2.0,2528,CSV 속명 Adonis — 한국 자생 복수초 A. amurensis 서울 촬영본,미나리아재비과의 여러해살이풀이에요 — 눈이 덜 녹은 이른 봄에 황금빛 꽃을 가장 먼저 엽니다.
2,27,아라비아의 별,arabiaui-byeol,https://commons.wikimedia.org/wiki/File:Ornithogalum_arabicum.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Ornithogalum_arabicum.jpg/1280px-Ornithogalum_arabicum.jpg,Smailtn,CC0,3024,파일 설명 Ornithogalum arabicum 일치 — 검은 씨방 확인,지중해에서 온 알뿌리 식물이에요 — 흰 꽃 한가운데 검은 씨방이 별처럼 박혀 있습니다.
2,28,보리,bori,https://commons.wikimedia.org/wiki/File:Champ_d%27Orge_carr%C3%A9e_(Hordeum_vulgare).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Champ_d%27Orge_carr%C3%A9e_%28Hordeum_vulgare%29.jpg/1280px-Champ_d%27Orge_carr%C3%A9e_%28Hordeum_vulgare%29.jpg,JackyM59,CC BY-SA 4.0,5366,name_en Straw — 보리 Hordeum vulgare 밭,벼과의 한해살이 곡물이에요 — 초여름이면 까끄라기 달린 이삭이 들판을 금빛으로 물들입니다.
2,29,아르메리아,areumeria,https://commons.wikimedia.org/wiki/File:20230519_Gew%C3%B6hnliche_Grasnelke_(Armeria_maritima).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/20230519_Gew%C3%B6hnliche_Grasnelke_%28Armeria_maritima%29.jpg/1280px-20230519_Gew%C3%B6hnliche_Grasnelke_%28Armeria_maritima%29.jpg,Matthias Bethke,CC BY-SA 4.0,6000,CSV 속명 Armeria — A. maritima,바닷가 바위에 붙어 사는 갯질경과의 여러해살이풀이에요 — 방석 같은 잎 위로 분홍 꽃방울을 올립니다.
3,2,미나리아재비,minariajaebi-0120,https://commons.wikimedia.org/wiki/File:Ranunculus_japonicus_3.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Ranunculus_japonicus_3.JPG/1280px-Ranunculus_japonicus_3.JPG,Dalgial,CC BY-SA 3.0,4272,name_en Butter Cup — 한국 미나리아재비 Ranunculus japonicus,미나리아재비과의 여러해살이풀이에요 — 기름을 바른 듯 반짝이는 노란 꽃잎이 특징입니다.
